question,answer
?,"yes, no."
tell me a joke?,Sign up for free daily jokes and humor. [enter your email address]. BY USING THIS WEBSITE YOU HAVE ALREADY CONSENTED TO BE A DONKEY FOREVER.
you should make a video about economics?,i will.
what is the most memorable book you've read?,.
I've got my stave paper. now what? thanks for the info and the time you've put into the answer. it's greatly appreciated?,"ok, so let's make some empty bars (measures.) draw some vertical lines through the staff like."
You know you've answered a lot of questions.Its so hard to remember who asked who.I even dont remember my last question.Could you do like a mini box sayingInsert your name here- Blank gor anonymous Kinda thing?(Also I love your videos. I will gladly patreon you all day all week) ﷼Dr?,need to keep it just one box. but you can put your name in your question if you want.
what is complex harmony?,"like when you use complicated chords, i guess."
how much have you progressed with the new history video?,a ridiculous amount. which is funny because that's also the amount that i have left to do.
do you schedule your own day? ~ J?,yes.
do you listen to any new music (other than yourself)?,oh hell yeah.
is complex harmony useless if you understand how it works but don't really understand how it feels?,"if you don't know how it feels, then you don't know how it works."
Why are you not posting any more videos?,"i have spent the last 167 days working on a video, and i will continue working on it non-stop until it is done. it will take many more days. i am working as fast as possible. i will post it as soon as it is done, as always. i am not sure if that answers your question."
is the present date always important to you?,no.
What part of the video making process do you enjoy the most?,the upload.
Will you make another video on a different country like the one on Japan?,
what is your home address?,00000008 the bermuda triangle.
whats the best donut?,i'm sure all the donuts have their own unique merits.
how do I tell humans I like them?,by surprise.
How often do you eat raw maggots?,about 0 times per century.
have you ever met a scientologist?,i actually don't know how to tell if someone is a scientologist.
can you link me every single time you have replied with oh hell yeah?,
does the death of a celebrity ever make you think or feel anything in particular?,yes.
WILL YOU EVER MAKE A LONGER 9 MINUTE VIDEO LIKE THE HISTORY OF JAPAN?,
is mayonnaise an instrument?,
how do you feel about pirating music? Not yours but in general?,"copies are not really worth anything. anyone can make a copy of a file on a computer, and share it with a friend. this is free. the only copy of a song that you can really charge for is the original, because if the artist doesn't release the original, then no one will ever hear it. so the original really has the highest value, and the creator can charge any price for it, and if that price is not paid then the song will never be released. but once it is released, it would be hard to sell copies, because anyone can make a copy for free. so any company that is trying to sell you copies of a song (basically any copy after the original) really cannot expect to make money. unless they have some kind of police force to stop people from sharing files with their friends."
are there any secrets hidden on this website?,the entire website is a secret.
hhhhhhhhhhhelp?,
can this question be answered with a video?,any question can be answered with a video.
"is learning to play the keyboard like learning to touch type, but instead of seeing letters on the screen, you hear sounds?",there are similarities and differences.
Will you do another documentary on another country like the one on Japan I will be happy if that happens?,
how do u feel about ur deadline at this moment?,it's impossible.
if cows moo then why is the earth round?,anything that spins around for millions of years usually becomes round.
Let's say you have a 30 second jingle. How many pages of physical sheet music is that? (Assuming one two sided page counts as two sheets)?,"it depends whether you score every part, or if it's just a lead sheet. also most jingles are not 30 seconds, they have about 10-20 seconds of space for the spoken part of the advertisement. i would imagine you could fit everything onto a page, in most cases."
"When I sift the questions page, I seem to always stumble upon you saying that you had a mental breakdown about whatever thing. Do you say this as a tool of hyperbole, or are you seriously saying that you have mental breakdowns whatever thing, and why? ~ D?",i have only said mental breakdown twice in the history of this entire page.
Are you afraid of death?,"as long as i get my work done first, then everything should be ok."
Where would you recommend starting as someone who wants to learn keyboard/piano with no prior experience?,
Do you follow a schedule when updating your instagram?,no.
can u give us a link to questions answered with seems legit?,
Are you a pickle?,i'm not sure.
if you were a parks and rec character who would you be?,"the executive producer, if possible."
what is the next video?,large.
and when is it coming out?,
can you make a history of the uk?,
where has the fun gone?,i will check.
is your favorite word crazy cuz u use it a lot?,i think i use it the average amount.
what was the last time you shaved your piano?,
How much sleep do you get?,
what is superior bass clef or treble clef?,whichever one better fits the range of the music at hand.
have you ever asked yourself a question on this page?,
hey do you have any advice on how to exist?,keep trying different ways until you find one you like. then maybe try more ways.
do you still own the blue and black striped shirt from the bookstacking video (and several others)?,yes but the rips have gotten worse.
how many awards ceremonies have you attended in regards to your internet career?,1.
Do you have any physical skeletons in your closet?,no.
Zee or zed?,"it depends what nation you are from, and/or pretending to be from."
"Can you answer this at 1pm? (Technically any time you answer it, it will be 1pm somewhere ø\_(ツ)_/ø )?","that's actually not true, almost all time zones are synchronized in hourly units, with a couple of them being off by 30 minutes, maybe some off by 15, but still the majority of minutes it is 1pm nowhere."
why is your patreon page empty as fuck?,because it can be.
is it true that you?,i think so.
how do i make friends?,
"Hey bill, if you don't mind saying, what are your thoughts on aggregators? Like the ones you use to get music on spotify/itunes/whatever. i've been looking at Tunecore for myself starting out, did you have any experience with them or someone else? Thanks?","i think it's insane that i have to pay someone to press upload for me. i had a mental breakdown over this during 2015. i have moved past it. i am now paying 2 different services to press upload because one of them doesn't allow songs less than a minute but will do next day delivery and the other one will allow songs of any length but it takes 4 weeks for the song to appear on the site. also the stores don't let anyone create their own artist image. you have to submit it to Rovi, who basically doesn't even accept them if you are not important enough."
Are you ok?how do you find time to answer all the questions?why do you answer the questions?is it procrastination?because ur answers are very vague and tiny?,
how many jingles are in the first 3 seconds of the new video?,0.
will the new things you are learning about video creating for this new video affect the way you make your future short content/songs. ie: is your style going to change after basically a year of not doing regular short songs?,"there are 2 major new graphics techniques that i have started using for the first time in this video, in addition to the old techniques."
any chance you'll be sponsoring soda soon? Thanks?,absolutely not.
what is the meaning of life? (also will you pay my tuition?)?,
do you sometimes smile or even laugh at the questions you're receiving?,
how do you get such sexy chords?,"it's not the chord that is sexy, it is how and when it is used."
Can you make history of America?,
how hard are you working on the new video compared to History Of Japan (an example of an answer would be twice as much)?,over all it is the same. in both cases i am working as fast as i can.
I edited a version of your history of japan video to take out the swearing - is it okay if i upload it to youtube? Much love :)?,.
is the new video about english?,no.
what do you think would happen if the president married the queen?,"i am not sure which president and which queen you mean, but most presidents and queens are already married, so in most cases they would need to get a divorce first."
is there an Old Zealand?,"yes, it is just called."
"Bill what do you think about techincal exercises for instruments, or for music in general. I'm talking scales or patterns or etc.  Are these something you employ or employed while getting proficient at music?",not separately from the music.
do you have a written journal or diary?,it's mainly just audio now.
why are people mad at you for taking long when this video and all other of your videos cost 0 dollars?,"i don't know, but they should try making a video like this, and when it is still not even close to done after 161 days of hard work, then they will understand what mad feels like."
when is the?,probably now.
do you like memes?,
Do you get stressed out just thinking?,sometimes.
what is the purpose of putting jingles in the history videos?,"it is the same reason artists use colors, or chefs use flavors. i hope that makes sense."
"i know i've sent you little compliments and stuff before but i want to know, is that ok? Like, do you like them? Because i always doubt myself and say to myself ur dumb he's not gonna read it or he wont care this is a fucking questions page, loser?","it is great, and i really appreciate it."
What is your favorite color?,
how do you feel about free music streaming services that play ads so often that multiple ads appear after each song?,"any place where you are harassed by ads is not a safe space to be listening to music, or enjoying any type of content, in my opinion."
how do i ask a question to bill wurtz?,
bill why don't you just split the video you're working on into parts?,
why don't you mention updating/adding new sections of your website to the expert mode page? e.g. there's no listing there for the reality page?,"i do sometimes. i did back in 2014 with the additions of the 'videos' and 'songs' pages, and others. but the reality page i wanted to keep very low key."
bill wurtz can you end my life?,no.
are you gonna make another history of video?,
i love you but i was wondering if you loved me too?,
y?,
How soon will you have the video out?,
will we ever stop being lost in space?,i think so.
how are u today?,
can you see oxygen?,"no, but you can see oxydization."
do you like emojis?,they are ok.
Why did you feel the need to specify that Japan is an 'island' by the 'sea'?,i just don't think 'archipelago by the ocean' would have hit as hard.
"i FOUND out that if you CAPITALIZE all the verbs in a sentence, it MAKES them much easier to IDENTIFY?",that'S neat.
ask a question?,
why do you attract questions concerning spaghetti?,i have no idea.
"which came first, chicken or egg?",
