question,answer
?,Tom Hanks. here is more info.
how do you nuke a small country?,believe in yourself.
"On a scale of 1 to terrible, how terrible do you think wearing socks with sandals is?",it's fine.
do u wanna put ur hands in mud?,"not now, thank you for the opportunity."
did you have to lift yourself up to drop yourself on your head or did you just go for it?,my mom was carrying me and i jumped.
why don't u play drums in ur music vids (u play rad air drums but just asking)?,"try playing drums in your house or apartment building at 3am (or any time, really) and i think you will understand the problem. unless you live in the desert."
can you do a sex tape?,"tape? are you fucking kidding me, what year is it."
How do you make good emotional connections with people? I have friends but I don't really like them and I feel like they don't really like me either?,i'm sure you are better at it than me.
"HEY!Like, I didn't wanna write anything, but today was such discoverfull (can I say that?? I'm not from 'round...) day and I wanted to say hi to someone and I found you and then I though I should say something and am now writing and I'm gonna regret it later but I don't care!I'm sorry?",hi.
you seem like one of those guys in high school who was in the honor classes but was always sleeping in the corner with hoody up and headphones on?,"almost, but after 9th grade you can't stay in honors classes unless you spend many many hours doing homework, which i was not interested in."
why was your shorty award acceptance speech so simple?,my question would be why were the other ones so complicated.
ok but is it ever really cold in Alabama? 101 degrees certainty isnt?,"that was june 28. i was only there for a week. according to my calculations, in winter it is really nice."
what's the hardest instrument you've had to learn to play?,does typing on a smartphone count as an instrument.
do u really exist?,let me check.
you best not be teasing about that new vid?,there will be many. the first one will be the shortest (about 3 seconds). i am trying to get a head start. already almost done with the first 4 videos.
have you even been to Alabama?,
"When learning how to play, was there a certain instrument that you seemed to pick up easier?",drums and piano were the ones that were available.
when is your next video?,"extremely soon, possibly today."
i want to play volleyball but i get really sad and angry with myself everytime i mess up and during games i just start crying a lot. is it worth continuing to pursue something you (mostly) enjoy if you suck at it and can't handle failure?,"yes, absolutely. this is a normal side effect of caring a lot about something. another side effect is you will become really great at it."
favorite soul progression?,does unlocking the secrets of human consciousness count as a soul progression.
we have the same name! why do you go by bill instead of william or will?,that would be way too much w.
How do i stop wanting to die?,that's a trick question.
How to get to new canaan?,that depends where you are now.
Why am i such a stupid fucking idiot?,does being just fine and on the right track count as being a stupid fucking idiot.
How do i stop being afraid of rejection?,try to find new and interesting ways of being rejected.
Give me your best answer (in not too many words) for people who go crazy believing everything is a conspiracy. I need that ONE phrase that shuts them up ;-)?,does trying to survive count as a conspiracy.
would you ever consider having ur body cryogenically frozen? I'm not offering but just wondering?,seems legit.
How do i relax?,stop doing everything else.
How come I can't go outside without an ad shoved in my face?,"these are relevant product offers for you, based on your behavior, conversations, moods, and thoughts!  please give us your feedback:."
How are you reacting to your sudden increaae in popularity? :^)?,i mainly reacted to it last year. ever since then it has been a gradual increase.
have you ever been to kentucky?,i doubt it.
Why would i want to be myself if i'm a loser?,you are just fine the way you are. whether or not you call that being a loser is your choice.
why cant i be a triangle?,"if you want to, you can have some similar characteristics."
Do you think death is the only answer?,depends on the question.
do you ever get drunk?,"only for work, sometimes."
"in your lyric section you have a song called 'i'm so shy' but it isn't in your songs section? would really like to hear it, the lyrics are extremely relatable tbh?",it's a total shitpost. probably worse than 'dumpies.' i took it off because it really is terrible.
