question,answer
?,gluten has been a victim of many more crimes than it has caused. i think the issue of gluten's rights is a conversation we need to start having.
Do you just make up the questions and pretend to answer them? If not how does this page work?,"other people ask the questions, and i pretend to know the answers."
what is your favorite type of plant?,photoautotrophic.
do you laugh when you suddenly get the feeling of 'I'm existing right now?'?,yes.
"Are you getting bored of anagramming our stuff, or can we keep asking you to anagram stuff?","it is thrilling, but it is a terrible use of my time, because i am trying to build a hadron particle collider."
how can you be so weird. i try to be as weird as you but i cant tips pls?,"try approaching the task with a bit more confidence, and vigour."
please anagram history of Japan?,"joy, art, fans, ihop."
what is life?,
Will you update your expert mode page? :)?,yes.
where the fuck are yuo?,on a rock floating in space.
"can you anagram the queen's quest to wax her sex organs underwater quickly became a zany, reckless exercise in folly and futility?","quack' said the fox. let's quit exxon, fly away, and secretly make erie unique lush bronze crystals in western greec."
does stuff happen sometimes?,yes.
is it safe to befriend sheep?,"i think so, as long as you are using good behaviours and practices."
do you understand ghosts?,"i was ready to understand ghosts, i really was, and i looked into it and i found out that ghosts are actually way more of a hoax than i was expecting. and i am a scientist."
what's your favourite anagram?,sxe.
3x-11=21 what is x?,10 and 2/3.
anagram: i am an unloved worthless piece of turd that is utterly average and will never amount to anything in her life?,"i'm a teenage ghost. i do my laundry in the waterfall of truth. i love turtles, turnips, war, and violence in heaven."
can you come up with a phrase that sounds like it's an anagram for something?,you just did.
which planet in the solar system has the biggest ego?,"earth, i guess."
when is your next video I loved history of japan?,doing it now.
what is your favorie animal?,
will your new video contain the word if?,yes.
How long does it take to cook my vegetables?,everyone has different vegetables.
how do i stop wasting time?,start doing something else.
please tell me your video isn't about ancient aliens?,it is not.
are these questions even real?,i think so.
any worries about the upcoming presidential election and its aftermath?,no.
HOW many dogs could you hug in 13 hours?,i am not sure.
"how a,mny dogs?",i know what you mean.
how dogsd?,i know what you mean.
make an anagram for tyrone went to kentucky fried chicken with his mom but not his dad because he doesnt know his dad?,.
are we even real?,yes.
are you a spaghetti?,i will check.
Where are u?,pyongyang.
do you like spaghetti?,it is ok.
when will be your next reality and improv video? i actually enjoy them?,"i will bring the reality page up to date when this video is done. i will also add more past items to both pages, and also the notes page."
ahhhhhhhhhhhhhhhhhhhhhhhhhh?,
can you think of a bad word that is also good?,yes.
Can you teach me how to make music like u on piano including chords and lyrics please help me I love the content u make?,you have to make up your own way. that's what i did.
where did u learn to music I'm a kid and I want to make music like yours I am good at piano and decent at guitar plz answer I love ur content?,
what do we need consciousness for? i can't think of anything except for maybe telling yourself apart from your identical twin?,thinking stuff and doing stuff.
will you ever explore other music?,other than what? i have been exploring all types of music all my life.
hhhhhh?,i know what you mean.
why isnt anything working?,to give you a chance to figure out how to make it work.
do pokemon exist irl?,no.
do you like the ice climbers?,back in my day there was only 1 character per character.
is it weird to you that you've already been working as long on this video as on all of history of japan?,yes.
do you think a lot of people could benefit from talking less?,no.
did you actually go to new canaan pensylvaniaif so how was it?,"it was actually new canaan connecticut. it was a beautiul day, it was very nice, i wrote a song there."
What games do you like playing (any type of game)?,the one where i try to complete my life's work during my life.
how many hours do you spend on your work on average per day?,"as many as possible. sometimes 8, sometimes 14, depending on the day."
How would you rate your life on a scale from 0-4.3?,4.3.
if a train leaves guantanamo bay at 9am in the morning approx what time does it reach your house? (if ever)?,never.
do you hate me?,no.
When are you gonna make another video like the history of japan?,
How much wood could a wood chuck chuck is a wood chuck could ever give a fuck?,
do you wear leather?,no.
why do you no longer use soundcloud?,"i never used it. i tried it, but i ended up making my own site instead."
thabk you' is an anagram for 'bat oh yuk'... why do you hate bats?,i do not hate bats. sorry for the confusion.
how long did it take to to history of japan?,
do you make it a point not to stop and think about how far you've come?,"no, i actually make a point to think about it."
why do you not post things in the notebook section anymore?,"i update all at once, filling in new stuff and old stuff at the same time. i usually update it after finishing a big project, like the one i am doing now."
How is your current mental health (scale 1 to 13)?,117.
Can you describe the feeling when you finally get to upload a video you've worked on for months?,"good, nice."
How should i deal with mood swings?,enjoy the ride.
i bet my fifty rat faced dollar signs and all my salads that you can't anagram this glorious sentence?,select your fantasy:.
are colours the same for everyone?,they are probably the same for most people.
what if dogs didnt have fur?,they might get cold.
have you ever been sad before?,yes.
Could you write a fight song to help get us pumped up?,not right now.
how do you feel about kanye west and his artistic pursuits?,fine.
are you a musician??? or just a bored ass guy. lma o?,"i am not bored, i have thousands of hours of more content that urgently needs to be produced as fast as possible, and i am hustling to finish as much of it as possible in my life time. i am also a musician."
how do i get the motivation to edit more videos?,wait until the sadness from not having those videos edited crushes you.
Can you PLEASE do more history visor like this!?https://youtu.be/Mh5LY4Mz15o?list=PLo7FOXNe7Yt9nQlysoQ9MJIGGV2ZIs26X?,
do you sometimes answer these questions to procrastinate?,no.
why does music make me feel emotions?,because it makes patterns and breaks them. that's where emotions come from.
"say a word about the beatles, si vous plait?",special.
"I think I read that you're posting the video as soon as you're finished with it down there, but will you let us know when that time's approaching? or do you want it to be more of a surprise?","i do want it to be a surprise, but if you follow this questions page you will surely remain keyed into how i am doing. you will also see an accelerated amount of instagram posts, and various other indications and/or announcements when i am nearing the final stages."
How do you know when someone asks a question that it's already been answered. Like how do you remember that it's already been answered?,it gives me a special feeling.
would you be willing to collaborate with another musician online?,
do u hate yourself?,no.
are you going to do more history videos? the japan one was great?,
how do you music theory?,make it up to suit your needs.
Do you like mexicans?,yes.
are you going to skip this question?,maybe.
would you like to fight?,not right now.
do you have a dog and can i have it?,no.
should the pope crusade to take constantinople?,ironically yes.
are you good at rhythm games?,yes.
have you ever wrote a song without listening to it?,"yes, but i listened to it in my head so i don't know if that counts."
"hs tsf iaod ks f;d h.soav{ g; kjak kjd ;sok sy kjglu tsf isl;ghdo ,sokj kjd kgmd{?","i've been using qwerty my whole life, and so has everyone else, so i don't think it would be worthwhile. although one thing i am very interested in is finding some kind of 5-button combinatory one handed typing system to use on hand held devices, because i don't know about you but typing on a touch screen is a disaster and there is no way to get any speed. not sure if anyone has invented a system like that but i think it is worth looking into."
what is the universe?,all this.
why are olives so salty?,"i don't know anything about olives, sorry."
how would you're life be different if you're name was will burtz?,it would be worse.
what makes you hate a person?,nothing.
",day tcbeo ru rxojgp. abe apxcypapf jre.o ap. frg axn. yr jpajtZ?",i dunno but this one was easy enough.
what is ur next video?,long.
can it be possible to be corn in a past life?,"yes, and a future life."
im disappointed?,
"i could understand why people would use 2k for the year 2000, but why do some people still write 2k16 when they could just write 2016. it's the same amount of characters and 0 is quicker to write?",i agree with you.
What question should I ask?,
Do you think that there is a difference between me and a slab of concrete?,yes.
Do you answer all your questions?,
why?,
do you change your answers to previous questions?,not usually.
qhat if everyone asking these questions is the same person?,
what is your opinion on sitcoms?,"they are easy to watch, because you don't have to laugh. all the laughing is done for you."
are you really you or do you really have like 20 people working on the bill wurtz person?,"i wish, then i could get more stuff done, faster."
