question,answer
?,
"When's your next video? Also, you should make longer videos xd?","i'm doing it now, that's what's taking so long."
Why does the title of the thabk you say thank you?,
do you talk to yourself?,
are my drawings good because i think they're horrible?,DO YOU THINK I MIGHT NEED TO SEE THE DRAWINGS IN ORDER TO ANSWER THIS QUESTION.
"Are these voicings right?Bmaj7 1st inversion/F#,Amaj7 1st inversion/E,G# 2nd inversion/C#,F# 2nd inversion/B,A#maj7/C?",.
Can I be your number one favorite person? (Outside ur fam of course)?,sure. the position is open.
please anagram my face?,i would love to. but first you have to tell me your face.
"Can you put a Go to Homepage button on this page? I visit your question section every day and I always get the urge to listen to your music so it'd be nice if I could just click Back to Home to quickly access your songs. This is just a suggestion, I'll still always visit your site :)?","don't you have a back button on your browser?  or if you are bookmarking straight to this page, couldn't you make a book mark for any other page you want as well? just a thought."
Will u be doing another history of country video? I cant stop watching the Japan one LOL?,
how do i stop hating myself?,any way you want.
did you ever figure out thar jumbled up coded sentence from like a week ago?,"no. i still think it is something. here it is again, for someone who thinks they can figure it out yicyig noop skytha kacdu ufoi fupes yahej i dug tyts eoches frozum prery? ochim, be droob ibbirtem duegpeco."
can you make another history video? i loved your japan one?,
"For lyrics do u think about the way words sound or what they are saying, or both? Or neither?",both.
What's your favorite colour?,
"what did you have for your last meal, bill?",i'm not telling you what i eat.
Can you compile a list of all the questions to which you've answered fuck no or absolutely not?,
Why do people hurt each other?,usually as a reaction to being hurt.
Why do you post questions without an answer? Eg that sugar question?,sorry that one was a mistake. i fixed it.
how do you feel about gravel?,it's ok.
"What was the it you discovered on June 5, 2005?",possibly the entire basis of what i am trying to do in life.
do you answer every single question you're asked?,
Describe one time where you tried to do something new to be more productive and it failed?,"tried to record all my songs at once, doing a bit on each and then moving on to the next one. total failure. nothing got finished."
"i can never seem to stick to a schedule, how do you do it?",you have to find a schedule that is meaningful enough.
do u ever just eat sugar? In its granulated form?,no.
why they Always ask you about the song ''i'm crazy/it's raining''? I also bet that this song were two different songs that then you joined together?,it was absolutely not. joining 2 songs together in my opinion is a terrible idea.
thoughts on clean russian athletes being banned at the olympics?,not at this time.
what do you have against hats?,nothing.
do people ever submit their phone numbers to you in the questions box?,no.
how it going?,
Hello Mr. Wurtz i really like the content that you made with your contenting ablitlies of um.. contenting.. anyway do you believe in anything (im sure you've been as a bunch of times sorry if this one is repeated alot)?,"yes, i believe in everything."
can you don't think about yoga ducks?,
have u ever had sex?,i can't remember anymore.
Have you ever flown in an airplane?,"yes, as a passenger not the pilot."
can you attempt to describe a certain emotion that is difficult to describe? ideally it is one that we are unfamiliar with or have not heard a description of before but it can be any of them really?,"if you want me to describe something, i will give it my best shot. but if you are not going to tell me what to describe then i hardly have anything to work with here."
Would you call a snail church a snurch?,sure said dr. seuss.
knock knock?,come in.
fish?,i know exactly what you mean.
do you find it hard to find like-minded individuals to surround yourself with as a kinda adult or are you comfortable with where you are(not implying you're alone)?,"i have found it extremely difficult, and it has been one of the defining struggles of my life. for years i always thought that the right people were always just right around the next corner. they never were. i eventually learned to accept it, and that's when i started really getting things done."
why?,
Feel free to say no: Will you write a song with me?  I will not take no for an answer :)?,i am busy working on a huge video. also i don't know how to write a song with someone.
when is the next educational video?,doing it now.
if your instruments could teleport would you make use of that in a song? especially if it made a cool sound like weeeesk?,"if teleportation were possible, i would be traveling all over the world, and also doing a tour."
"So when you're done with this video and your weekly schedule of songs starts, what will you be focusing on alongside the songs? Long videos like when you did vines and history of Japan or will it be like before with a five day schedule or something or a cool combination of both or something Totally Different? (Good luck for your video by the way!! Exciting stuff!)?",.
