question,answer
?,yes.
are you gonna make more content?,i never stopped.
what do you think of space?,it's nice you can be places.
thoughts on physics?,.
is it ok to not make sense?,"sometimes it is nice to play hide and seek, with sense."
do you like colors?,they are ok.
why does everything productive that i plan get thwarted by nature?,to give you a challenge.
did you know you can type words with just the 1st 2 letters of the alphabetabababababbbabbabba bab ab ababba ba baba ba ba bababbababa?,oh nice.
what if it's only one single person sending you all of these asks?,
are we even supposed to understand your work?,you can if you want.
do you like history?,yes but right now i am really tired of it. i never thought that would happen.
you're so different and i want to know everything about you. can you write your like story out please?,"it seems like i do that all the time, especially on these questions pages."
what is the purpose of the randomness of the mondayvideos?,"they always came out on monday, i don't think that's random at all. i think it's very predictable and regulated. many of them even had similar formats, and included the word monday in the title."
whats your opinion on stuff?,it's ok.
can you drop a crazy hint about the content contained within the new video?,yes.
do you answer these ueqstions?,some of them.
"I personally feel like your greatest content tends to be stuff that took a long time to make. Would you rather create more content by working faster, but compromise on quality, or make less content by working slower but have a better result? (In other words, quality or quantity?)?",those 2 things do not necessarily disagree. but i am working as fast as i can while also not letting the thing totally suck. this is how i always work.
if you like lowercase letters?,"i like lowercase and capital letters. they are both part of my repertoire. it is an easy way to instantly make letters a different size, without having to change the font."
anyway I hope you are having a good day and have some more fantastic content coming up?,
"Would you say that your product comes in massive spikes, or is it relatively constant? (I fall into the former category.)?",it is constant.
you are like the only youtuber that has 1mil+ subs that doesn't scream HEY WASSUP ITS YA BOI maybe you should do that at the start of your next video (͡°͜ʖ͡°)?,i will consider it but i probably will not do it.
can you put your reality videos on youtube? they're not loading very well on your website since you're self-hosting them and even uploading them under some second channel like billwurtz2 will help them be appreciated more while also loading much faster and being easier to access and organize?,"the dates would be all wrong, and i don't want them all over youtube."
have you considered adding a favicon to your site? a little umbrella would look really cute?,
have you ever considered using a margin top on the donate button instead of this monstrosity? http://i.imgur.com/2Oz5EcX.png?,i think you are viewing the site a bit differently from the way normal people view it.
"bill, BILL, this is a dire situation and i cannot keep my feelings repressed any longer. while most of your website is in wonderful times, THIS TEXTBOX AND THE ASK BUTTON ARE IN HELVETICA. this makes me very uncomfortable and i would like this situation resolved immediatley http://i.imgur.com/LsE7Uk8.png?",if that makes you uncomfortable you should see what's going on in syria.
do you keep notes?,yes.
when was the last time you created a link for a question that multiple people have asked?,about 10 seconds ago.
Do you like rocks?,yes.
why is going home such a common theme in your songs?,because i think it's nice.
BILL WHY DO YOU USE LOWERCASE LETTERS SO MUCH?,"most people use lowercase for almost all of their letters. unless they are trying to convey a desperately urgent message, emergency style."
what is the significance of 1 lovely drive in i can play? or did you just pick a random address?,not just random. a lovely place to go back to.
did you give up on this page?,no.
do you live at bushwick avenue close to the j train?,no but i used to.
"i havent read the questions page in like two weeks, hows it going bill?","good, i have a strategy for doing songs and videos."
Are you going to make more videos?,yes.
