question,answer
?,time and space.
8.30.17  9:42 pm     why do people at my school hate that I listen to the beatles and john lennon?      why did you tell people what you listen to?,.
I WAS LOOKING AT SOMEONE'S TWITTER FROM HIGH SCHOOL THAT I THOUGHT WAS KIND OF CUTE AND I LIKED SOMETHING THEY RETWEETED ON MY ANONYMOUS ACOUNT THAT HAD MY FIRST NAME AND PICTURE SHITUCK?,you're going to have to leave the country.
what is one thing you wish you could do when making videos that you can't do at that time?,"make more songs, or make a different type of video."
What skills are you looking for in an assistant?,any.
is there a meaning to life?,does it mean anything to you.
what made you want to become a musician?,music.
Can I be ur assistant?,sure.
how do you find a purpose in life?,"listen carefully, and it may find you."
i can't forget that girl but she hates me but also she can't change her mind but I can't help it and i see her everyday what do i do?,start a non-profit organization.
what do you think of names for musical notes like do re mi rather than letters like E C G?,"in america, do re mi is relative, it just means scale degrees, like nashville uses numbers. they work according to the key your in, so do is always the root of the key but not always the same letter note. i have heard that in some countries 'do' always means C. it is 2 completely different ways of using the system, and i'm not sure either way is more useful than using letters and numbers."
Where are the questions prior to may 2015? I sawould them before...-Bogg?,this site never included any questions asked before may 2015.
My topology teacher seems to be out of his mind When assigning homework. What would you recommend?,try to go out of your mind when you do the homework.
How to make good music?,"try to make it bad. if you fuck up that's ok, then it will be good."
"what is the chord playing at 8:39 in this score: https://www.youtube.com/watch?v=BMphxeFoJAc (G/Db, Db, G/Db ?)?","i'd say so. there's a swarmy climbing strings riff that is sort of erupting through the midst of that, but i think indeed those chords are used. those chords are a recurring theme in this movie (two major triads a tri-tone away, note the sprinkly piano riff that occurs throughout the movie)."
what should i do when people frown at me in the workplace?,buy the company and then sell it for more.
Did you know that alt+enter can makelinebreaks?question brought youbyentersending a question insteadof makinga line break?,
,
i performed in front of people for the first time and my legs were shaking violently the entire time. is there anything i can do to fix that or do i just have to perform until my legs stop shaking?,more performing is the only thing that will make you more comfortable performing.
Do you know which piano chords are in Do You Believe In Love by Huey Lewis & the News because I can't find them online but I want to play the piano part?,"verse B (walkin) .... D#min (lookin) .... E,  F#,  B .    repeat all that.  (quick E, F# right before the cho). CHO: is B, F#, E, F#. B, F#, E, B. B, F#, E, F#, and the last part of the cho is C#min, F#, C#min, F#.  another verse, another cho, sax solo over half a verse, bridge is E .....B .  or if you want to be specific about that B there ('photograph') you can play with the vocal harmonies and go E/B, then Bmaj9.  then E..... F#  (again if you want to be specific with the vocals on 'gonna last', that would be B/F#, F#. that's about it."
why do you follow people on twitter?,some people ask why i follow people on twitter. some people ask why i do not follow anyone on instagram. i am waiting to be informed of the proper number of people to follow such that i don't have to explain myself.
is anything?,yes.
Do you know how to cure grief? Just wondering?,build something new.
I'm certain you found much more than what was just put in the video. (For the sake of conciseness and whatnot)?,the main thing i learned was that i am never attempting a video that long again.
can you please upload the that's the way I like to live my life song please?,"it is uploaded. that song is actually part of a video, called hi, i'm steve. the song occurs twice in the video, with slightly different lyrics the second time."
what is the limit of imagination?,i don't think there is any limit.
why am i afraid of school assignments?,becaue they suck.
can i send you a resume?,sure.
"i do, they're fun and i like them a lot?",i agree.
"It's just, idk, ehat will happen?",everything.
Are you doing something?,yes.
bill may i ask you for the opinion of stars?,you will have to ask the stars for their own opinion.
http://www.billwurtz.com/reality/201102190135.mp4 do you feel like you have figured it out now? :)?,"yes. there are still infinite ways to put songs together, but i have a lot more experience now doing it in many different types of ways. later that year (actually within the following month) i really got down to business in writing 'the normal way' and got a lot of experience during that year. then the year after that i really started to merge all the normal and non-normal techniques."
