question,answer
?,"ah, yes. nice job with this."
why did you choose to not even add something like font-family:sans-serif because it's a little displeasing to read scattered text with multiple colors with a serif font (most browsers default to times new roman)?,"to give you an opportunity to show off your expertise, via criticism."
do you pay attention to the news (ranging from things like covfefe to trump being elected)?,"that's not a very wide range, both things you just mentioned are about donald trump."
how many woodchucks can a wood chuck chuck?,it depends on their faith.
I struggle in school finding motivation in topics that don't interest me. I want to live like you and just do my passion (programming) with every minute of my life. How did you deal with overcoming you parents / society's expectations of how you should live life? -CBV?,stealth tactics.
do you consider yourself a director?,i never thought of calling it that but yes.
"space isnt real, whats the deal with that?",it is.
"if you dont know if something is jazz when listening to it, then how do you know something is jazz when you are performing it? (referring to your jazz page)?","the reason that page is labeled jazz is because it's just opening up the book to a tune, picking a tempo (perhaps not even the original tempo!) and jamming through it with the boys. usually playing the head once through, and then improvising over the form. this activity has been called jazz. jazz can mean many different things but that's one of the things it has meant, and the title of that page is a reference to those types of sessions. as a twist, when it is used in that context it usually refers to a different instrumentation than i'm using, and it is a live jam between 4 different people. whereas i'm doing it all myself. but the activity is very much the same. especially considering that the first several dozen tunes i did were sight read from the Real Book, which has been a staple of these types of sessions."
When can we expect that this medium-something-different-type video you've be been foreshadowing to come out?,that's not quite as different as i meant.
Do you think I should start signing my questions so I can a remember what I asked and b let you know what I'm asking?,"i don't have a problem with that. many people have done that before. but if you do that, 2 things will probably happen: some people might start making fun of you and ask you to stop, and then people might start impersonating you. the 3rd thing that may happen is you may become upset about the first 2 things and leave. that is the typical life cycle of question signatures."
is the universe nice to you?,"yes, and also challenging."
what is your favorite chord? mine is a a maj7?,
What are some of your reasons for not making a discord server?,none.
I'm a simple man. Answer this question and I'll be happy?,
where do you get all of your creativity? (besides your brain)?,
"Are you working alone,?",yes.
what do you think of the current youtube advertisement crisis? have you been affected at all?,"the ad crisis that affects me is: i don't put ads anywhere on my youtube channel because i think that severely weakens the viewing experience. and yet fans will never stop trying to convince me to do it anyway, no matter how many times i explain that i will not. i am not sure if that is the crisis you are talking about."
star wars or star trek?,
"coffee, tea, or hot chocolate?",
