question,answer
?,maybe. but i might do it a little bit differently.
does your new video have any of the words on this list: https://en.wiktionary.org/wiki/Category:English_swear_words?,yes.
will you ever make more music school videos? i always had a soft spot for those?,"yes, i would like to. and they would be a bit longer than the ones i have done."
Are you gonna to continue the Mondays videos?,the next regulated content schedule i would be interested in is songs.
do you value originality?,oh hell yeah.
do you like pasta?,it is ok.
what's 1+1?,2.
does it make sense to believe that nothing actually exists but also everything exists?,no need to make up your mind. exist means muliple things anyway. watch how different things do it different ways.
do you think its necesary to understand / know a lot of popular songs from today or the past if you want to be able to write songs - even if the kind of songs you want to write will sound noting like them?? I've tried to do this but its hard to take it seriously when it seems like the benefits aren't clear. how do you know when its appropriate to learn and when its time to do?,"if you can write, write. if you can't but still want to, then search to the ends of the earth for ways to get your life to make sense. and then try again. i'm not sure if that answers your question."
what does something have to be to be considered a song?,it has to be approved by the Song Approval Committee which accidentally doesn't exist.
hows the video coming along?,wild and crazy.
why does your answer to my question saying why does the bio page just say accidentally came to earth. it's weird say why does your question say why does the bio page just say accidentally came to earth. it's weird?,because that is what i typed there.
where are you?,
where have you been?,
"Why don't you want your songs to be over 3:30? Are you afraid they'll get repetetive,?",it would only be repetetive if it repeats a lot.
or is it just arbitrary?,"no, in my experience songs are usually the strongest between lengths of 1 second and perhaps 3:35."
Is it possible to dilate time without the use of space travel?,i think time might be already dilated to begin with.
Is the answer to this question no?Haha get trapped in a paradox Mr. Wurtz I have won?,
do you own a kitchen gun?,i don't think so.
can i create an animated celebratory pie for you after the video is done?,sure.
will you ever do another history of ___ video?,
what should i do on the ninth for my socially recognized important day celebrated because (x person) was born on that day?,
how useful is the quadratic equation if you want to write fiction books for a living?,it depends on whether you want to use the quadratic equation in a book.
do you listen to music while you work or does it distract you?,
what is the meaning of life?,
the universe?,"things can be different ways at different times. time and space is possible, and fun, even though it makes no sense."
and everything?,meaning varies on a thing to thing basis.
"You said earlier that you prefer mechanical pencils for the consistency, what mm graphite do you like to use for so called pencils? (I personally like 0.9mm)?",i don't remember but i think the brand i use fits .5.
Are u ok friend?,
Any tips against staying awake until 3am looking at internet memes when you have to get up at like 6:30?,no.
hi bill which of newtons laws do you find most relatable?,"none of them are actually very relatable, because they describe what it is like to live in a vacuum, in space."
what flavor of cheesecake are your videos?,none.
do you accept the fact that we are all going to die?,sort of.
how do you read between the lines?,"read the thing, and then use your mind to see if you can realize something."
whats your new favorite meme?,"appreciating the unique qualities  of a wide array of different things, rather than only choosing 1."
what usually inspires you to capitalize a letter?,if it is helpful in communicating what i am trying to say.
do you think we should embrace the germs?,i think everyone should have the relationship with germs that is right for them.
what is the reason you use mechanical pencils?,"they are very precise, consistent, and erasable."
how have you not died from over owrking?,"if i over work i just fall asleep. and then wake up, alive, and ready to work more."
what should i major in?,i don't know.
"why is it that when i try to think of a random word i either think the word dog or an object of food? do you experience something similar? i've noticed that a lot of random humor comes back to items of food. when you think about it, that's not random at all?","if you really need a random word, you can use a site like."
hey bill i have an extremely serious problem i am struggling to solvehow do you put smiley faces in parentheses because if you do it like (blah blah blah :) ) it looks weird but (blah blah blah :) is even weirder please help bill this is urgent?,.
im bored what can i do to fix that?,have some Problems.
how would you deal with a breakup?,"begin to re-discover yourself, especially the aspects of yourself which may have been unappreciated or unnoticed by your former partner."
whats the password to reality?,
how many views do you think you would get if you made a video again?,"i am making a video, i never stopped making videos. i cannot predict the views, i don't view the videos after they are posted. the views all come from other people, other than me."
are you ever going to give a serious answer to when you think you will make a video again [if you will]?,"i give a serious answer every time, which is that i have been working on a video ever since the last video came out. i actually started it 2 weeks before that, and i have been working on it ever since. i have never stopped making videos, i have been doing it constantly since 2014. i have explained this many times. i hope that answers your question."
i miss you and your videos ;-;?,
please describe your ideal language?,you can communicate ideas and have fun.
is one of the new and different things you are going to try after the video is out live streaming? I think that would be really cool?,that is one of the things i would like to do in the future. it might not be the first thing after this video.
can you love someone so much that they go away?,why don't you try and see.
what music do you listen to?,whatever is playing within audible vicinity.
I named a star after you?,how do you know it wasn't already named something else by the people who live there.
how did life become a thing?,no one knows yet.
How many swags do you have?,0.
,
what country has the best looking money?,it depends what kind of money you like looking at.
will you be continuing word unscramble at any point in time?,yes but maybe not in video form.
Is bluejean an adjective? Like how we made whitebread into one?,i think so.
"bill, what happened to your yt-channel? :((?","nothing, i just checked, it's fine. you scared the crap out of me."
why haven't you updated the reality section in forever?,
greetings bill what is your thought on AP classes?,i will wait until i know what they are before putting too much thought into them.
how's graphics coming along boss?,wild and crazy.
how does one deal with procrastination?,
why is it possible that things can exist?,everything is possible.
"apart from the new history of video coming whenever, do you have anything else planned in the terms of longer videos?",yes.
Is it morally acceptable to punch a nazi?,you will have to check with the Bureau of Moral Acceptance.
are you alive?,
what is 2 + 3?,5.
thoughts on pogs?,"ah, there's a word i like. i hope the person from a few questions down sees this."
are you a synesthete because otherwise your page is annoying me?,did you leave the page yet because otherwise you might be annoyed.
"if so, what did that feel like? that's the most  terrifying part of being a person on the internet to me. if not, good job, because it's very easy to get in hot water on the internet?",i make water coolers. i work in the water cooling industry.
bill I got suspened from school for 5 days and I have nothing to do.. how can I learn piano?,start testing the notes.
"Bill, I'm currently working on something big. How do I deal with the fear that it's all worthless garbage? I won't know for sure until it's finished. Thanks?","if you don't like this feeling, try making a lot of smaller things for a while, to get used to the roller coaster ride on a smaller scale. after you've done that for a while, eventually you will be ready to do something longer, and at that time you will have much more confidence that you know what you're doing."
Why does nobody seem to mind Gregor's metamorphosis?,.
who are you?,
将来に日本語を学ぶ？?,i probably won't have time.
MR. WURTZ WHAT WOULD YOU DO IF SOMEONE WAS A FURRY?,continue living my life in a way that i feel is appropriate. please don't call me mr. wurtz.
Am I correct when I say that your next video will NOT be about England/UK?,not exactly.
what is your opinion on sweaters?,"you can wear them in times of war, or times of peace."
will you ever become President of the United States of America?,i hope not.
are you feeling fr00ty?,not at this time.
do you simply feel like aAAAAAAAAAAAAAAAAAaAAAaaAaaAAAAAAaaAAAAAAAaAAAa?,sometimes.
any tips on how to overcome fear of public speaking? please hurry since i will be reporting in about an hour?,do it more often.
i like cars do you like cars?,they are ok.
greetings bill what is your thought on large orchestras?,they are usually a pretty decent size.
are you creating your video in a sustainable way?,"i'm not sure what you mean, but the video will be finished in a timely manner and it's going to be great. i am not sure if that's what you mean by sustainable."
hey my friend is retarded?,thanks for the update.
Is Koko the Gorilla legit?,i think so.
"Hi there!  I just wanted to congratulate you for your amazing art, and i also wanted to thank you for being a distraction. But because this is a question page...What it is that you like the most about being an artist? Love from Mexico :)?",the part where you get to think of something and then make it appear in someone else's mind.
What is your favorite ASCII symbol?,
im getting a pet rock what shohld i name it?,
whos your favourite youtuber?,
"What's your favourite woodwind instrument, like Clarinet, flute, and Saxophone?",
how do you think i should i deal with someone who starts an argument about everything?,"argue with them. or if you prefer not to argue, then try dealing with a different person who likes to do other things besides argue."
How are you doing today?,
Have you ever broken the law?,some laws. not others.
How do you prefer to be called by your followers?,"if they are talking amongst themselves, then it can be whatever they choose. if they are talking to me, they do not need to use any name unless they are trying to get my attention in a group setting."
I'm doing map of right now what color should I make Herzegovina?,whatever color is in contrast with the neighboring regions.
greetings bill wurtz what is your favorite greeting word (i always start with greetings)?,"sometimes you don't need one, but i think hi is nice."
あなたは日本語を話せますか？?,
greetings bill what is your thought on quizzes and tests?,usually trying to think of the answers.
you seem like a pretty cool dude. But also a little bit sad. Is that just how you are or?,i am some other things too.
how do i finish my projects?,get more afraid that you never will.
ahhhhhhhhhhhhhh?,
will the new video first appear on your website or YouTube? (even if the gap between them is only minutes long)?,i don't know but it will be at almost exactly the same time.
did you write notes about the general tone of the score in the script for this video or i it something you plan on figuring out as you go?,the tone of the score can mostly be determined by the contents of the script. the few times when specific score instructions are made are when the score is almost bordering on sound effects.
what languages do u speak? :)))?,
when is the new video coming out i need it for sustenance?,me too.
Earlier you stated that you spent the first half of your life absorbing content and that now you're on your second half where you just only create stuff. Well in that earlier phase did you ever listen to Kanye West or other hip-hop influences?,"yes, probably more non-kanye than kanye, i hope that makes sense."
when is the answer for the biscuit challenge?,1 week after the biscuit challenge.
did you know?,"yes, i actually still do."
"Alphabet anagram guy here: I bought letter fridge magnets and I have only one for each letter so I am attempting to maximize the revenue from this investment, so I went to the pro (you) to aks for help. Would love to do the elephant hate tribe but it has too many E's?",most phrases will have too many E's to make with the set of letters you have.
why do my questions never appear on this page?,
