question,answer
?,sometimes.
bill do you prefer wearing trousers or baseball caps?,why can't i wear both.
"all my insides have turned to jelly and now i'm a squishy wad of flesh that gets around by tumbling forward like a mushy, dangly-limbed sonic the hedgehog. happy 2018?",ah #relatable.
how did you feel about meeting the absolute legend redfoo at the shorty awards?,i did not meet him.
What are notes? (in music)?,
"why is a pencil called a pencil? i personally disapprove of it, too close to pen, which has a similar purpose and can easily get mixed up?","ah, i see what you mean. i will change it."
Is it 2018 yet?,"yes, in some parts of the world."
help i'm an idiot trapped inside an idiot's body?,what exactly seems to be the problem.
what's your favorite makeup brand?,there are so many great brands.
do you own an octahedron of transcendence?,no. back in my day we used to transcend with our bare hands and we liked it.
when i was little i used to be really scared of the voiceover that would play after mr roger's neighborhood?,that's weird i only recall costa shredding.
help i joined a music honor society and i don't know what to do pls help?,.
do you have any other interests besides music?,making videos to go with the music.
what's your favorite song lyric?,it really doesn't matter. if i'm wrong i'm right. where i belong i'm right. (where i belong).
Do you worry that this frustrates people sometimes?,no.
what is what?,that seems about right.
How do I change the world?,start by figuring out how it currently is.
What do you think of Indiana?,it's good.
what is your opinion on the new york city subway?,
more music please?,coming right up.
Knock knock?,come in.
why did my wife leave me?,"perhaps for business, or pleasure."
"hi bill, a few months ago i used to check your page daily but i haven't been on here for like 3 months, so I'm sorry if millions of people have asked this already but what will the next song/video be about?","music, good and bad times, joy, self expression, and understanding."
"I have a severe condition where I need exciting revelations every day,?",oh me too.
but I can't find any. pls help?,check your pockets.
quick bill do something funny?,i will do it when i get a chance.
How do i open my mind creatively as you have and shed this societal pressure to be dumb and normal?,perhaps you could start by writing a thesis paper about why and how dumb is normal.
"12.27.1712:56 am answer it on this webpage, fuckface?",i will consider it.
whats ur opinion on ice cream?,i think it should be legal.
can you make more monday trivia videos? they're pretty fun to do?,"i would consider it, and there are some other things i would also consider. the reason the other things have the advantage at this point is because i have already done about 100 monday videos and none of those other thing(s)."
go to sleep?,why don't you.
"You haven't uploaded in forever, are you making another history video?",no.
How did you come up with the idea of the history of Japan and the world videos?,it just seemed like common sense.
is ice smooth?,if u pay extra it can be.
Is this world fair？?,usually but if not you can call the complaint line.
"Do you have any pattern of expressing (im specifically refering about the type of expression through words: speaking or writing) understandable (at least to some high degree) to other peoples mind, making it possible for us to conceive your words as equal to your true intentions? sometimes it seems hard for me to decipher what is the meaning behind your words, as if youre just talking to yourself. I know normality doesnt exist, but i think you might have some ideas about whats the normal way of expressing oneself (in which, to my standarts, you dont follow). Am I looking into it too much? Maybe you are joking around as people say. I think that what I tried to ask is: how would you define yourself from a more understandable (to other people in general) point of view?. man im sorry (since i dont even speak english), it feels impossible to communicate with the ambiguity of almost everything around us, and maybe your ambiguity called more my attentio n than o ther ambiguities (because its easier to notice). thank you for reading, i hope i made some sense?",i'm just trying to be reasonable.
"What's your favorite chord type? (Minor, minor seventh, major seventh, major eleventh, diminished)?",whichever one i think best describes the sound at hand.
what does jupiter want?,all the gas.
I found $5 once?,oh nice.
why does this channel have views?,which channel.
12.26.1711:55 am answer the question dipshit?,ok.
what can be defined as 'the source code that shapes reality'?,"this may surprise you, but it's actually made of goo."
12.26.174:05 am do you actually do this?,absolutely not.
i deleted christmas this year. whatever you think happened yesterday was a dream from when you and everyone else were in somnostasis for an infinitesimal fraction of a second when we skipped over december the 25th?,did you know you can skip christmas without skipping december 25.
How much wet is water?,i'd say about a 6.4.
i miis yuo?,i didn't leave.
"but live action /is/ much cooler than animation. the lesson here is listen to your heart, not your fans?","that is true, that is what i have always done. thanks so much for your help. i mean it this time."
got any food reccomendations?,water.
why didn't you make a video about potatoes yet?,sore subject.
common sense is actually quite different to each person?,that's true.
why is christmas sometimes called xmas?,to protect you from seeing the word christ which might be offensive because jesus christ was recently fired for sexual harrassment.
Why is instagram two times in the website?,it is not.
Why did you remove a video from youtube?,i did not.
What to do when its boxing day?(also Merry Christler For Yesterday)?,"take my gifts, put them back in the box, and sell them online."
"The Mountains are talked about in Hi, I'm Steve but also casually mentioned in a super early reality video, I know climbing mountains means doing stuff, getting stuff done,?",it can mean other things too.
has anyone who has asked you if their drawing is good sent you an image of their drawing?,no.
when will the sun come back?,it did not leave.
The opening lyrics seem really similar.I'm Crazy/It's Raining:Go back to where you come fromGo back to where you belong...outside:...I can't go back to where I come fromBecause I'm not welcomeAnd it's not fun there?,
Now you gotta tell me everything you did baby?,"oh, turn up the eagles the neighbors are listening."
how do i learn a new instrument?,step one touch the instrument.
nothing is real?,then what the hell does real mean.
who do you hate?,i don't really think about that.
My dad says whats a meme?,.
what inspired you to become a musician?,music.
how do i use this darn computer thing?,did you try turning it off and on again.
What's the highest score you're ever gotten in Scrabble?,potato.
what is your real name?,door.
"do you think in times before vehicles people had to be a little more polite, or does that seem a bit too life used to be better in days gone by?",surely they were mean on horses.
Whats the main color at :34 in your new video?,you wanna.
Is visual art comparable to audio art? like this song was 7/10 but this drawing is 8/10 or shpuld it be seperate scales of rating (that arent even numerical bc honestly fuck numbers) like this song has things i like *list of the things liked* and this drawing has very nice aesthetic bc *listing the things that make it have nice aesthetic*?,"visual art should be graded on a scale from 1 to 10, and audio art should be graded on a scale of 1 to 5. integers only please."
i drew a thing is it good?,i have not seen it.
have you wrapped/boxed/bagged all ur christmas presents yet or r u still waiting lastminute like me?,"to make it simpler, i'm just going to give the gift without the paper and boxes, and then buy a lot of paper and boxes and throw them away."
How do I become good at music?,keep doing and experiencing music in as many ways as possible.
How much trial and error is in your process of making music and videos?,"about 7 table spoons of trial, and 3 table spoons of error."
explain?,"like, you might look at some thing and not like it.. you might say euughhg, i don't like that and it's bad. but it's also good, because someone else might like it."
what books changed your life in a positive manner?,"it wasn't so much books that changed my life, but some of the alternatives to books which have become common place during my lifetime."
why r u not posting vids in youtube?? i mean moooooo?,i only post videos when they are finished.
Why do you change clothes in your videos?,"for the same reason artists might change colors, during a painting."
How do I frost a steak? And if I change my mind later how do I de-frost it?,most steaks now a days have buttons on them for that.
someone I was talking to found out that I'm trying to do music for a living and then asked me who is your favorite guitarist and I said myself but then he thought it was a joke and wanted me to name someone else but I didn't want to because the question was problematic and now he probably thinks that I can't even name a guitarist I like to listen to which is untrue I just think the question was no good in the first place and he didn't accept the only answer that seemed even remotely reasonable so what's up with that?,"it is taboo to like yourself. this is strange because if you want to be the best person you can be, at some point you will want to believe you are doing it right. but unfortunately this is taboo. if you like yourself, you will have to keep it a secret. if you continue to be more and more how you like (without admitting it) you are going to be well on your way to success."
take a vacation?,everyone always thinks i'm already on vacation.
