question,answer
?,wild and crazy.
"I know a lot of creators who suffer post-project depression (if you'll pardon the term), which is why I'm asking?","there are even more exciting projects ahead. actually there is currently a lot of anxiety that i can't get to them soon enough, and also a lot of anxiety that nothing is going online until this one is done."
What is the difference between communism and socialism?,"i'm not too sure. to make it more complicated, i think they both have differences between themselves."
"hey bill, word around the office is you've got a fat cock?","it is not fat, but it is muscular."
What is 0.1+0.2?,0.3.
Is existence meaning? -Jaz?,it means something to me.
"why do i get the feeling that you are not doing anything except working on the video? like hanging with buds, relaxing on a beach? like u always write that you work so hard, and i believe in that but im also worried :(ps. not your mom, but mom-caring or something in that way?",do you think working less would make it easier for me to explain to people what is taking so long.
Yo fam up the frame rate! *mouth sounds*?,
why you dont answer my questions?,
What video are you working on cykanugget?,How To Question Your Entire Life Even When You Know You Are Doing The Right Thing.
do you have opinions on politics?,no.
"Yo, a long time ago you were sayin the song I'm sad wasn't actually about being sad. So what is it really about?     -Mr. Freak?",recording.
hey bill are you nervous for daylight savings coming up in a few weeks? it's always scary for me because I never know what time it is?,i am more nervous about other things.
"dear bill,i like your music and videos a lot.have you ever considered making a song that involved screaming? have you ever?-M?",no but i probably should.
I mean how do you avoid simply creating nonstop?,i would not like to avoid that.
Who the fuck are you?,
bill wurtz I see that you were making tons of songs and videos BEFORE you had over a hundred subcribers or followers. I've only gotten to 4000 with a task that was so fun and easy for me to do every day. How did you put in all the work and know it was the right way for you>?,it was obvious.
When you coming back :(?,
will you please change the site font to wingdings?,not right now.
do you ever enjoy doing things without needing to go to your keyboard? for example when the one person mentioned your wikipedia page i highlighted/dragged billwurtz from the url and googled it (you don't have one i think)?,"i prefer to do as many things from the keyboard as possible. i work much faster that way. i am always looking for new keyboard shortcuts, and i get mad when certain things have no keyboard shortcut."
,
z;svhidsajvdsvclijdsanv?,i know what you mean.
how come the hotewig page has a different color scheme?,"because it is a different type of page. it's not just 1 question, it is a collection of all the questions which i think are related to the large video i'm working on, throughout the entire time i have been working on the video. even if the person who asked the question did not know the question was related to the video."
does the new video mention any one of the oceans?,yes.
what does thabk you mean?,thank you.
"you've mentioned how important it is to keep a back-catalogue of all of your work, but what about your instagram? or is it just not worth keeping a back-catalogue of what's on there?",i am condsidering making a page for pictures.
"how much progress have you made on the video over the last few days? (in terms of score, narration and jingle vocals progress)?","still doing the score. it's going great. narration is only in place up to 7:50, because i got sick last week and i still have sick voice. so i started on the score. my voice should be back by the time i reach 7:50 in the score and then i will finish the narration."
"how long did it take you to make alphabet shuffle? (i.e. how long for writing, recording, making the video etc.)?","recording the song and doing the video took a total of 10 days. the song was probably done by day 3 i guess? the rest of the time would be doing the video. the writing happened at vastly different times. the original hook is from 2012, and then i think it came up in 2013 sometime and i think i found the first bridge line, and then i think i finished it up in 2016 when i was writing the series of videos i had planned for 2016. i don't know what that amounts to in total writing time, but surely less than a day."
doesn't kanye west sound like he has oversized molars?,perhaps it is a result of the car accident and jaw surgery.
Video about the dutch please?,
"I don't get your notes page.  Like, weirdly enough I actually GET the individual entries, sometimes to a scary degree, but..I dunno, I just don't understand why they're formatted the way they are.  Some of them are just so tiny, so minuscule, that I have to wonder why it even has it's own page?  Makes me feel like I'm missing a huge chunk of it, and I'm only seeing the bits and pieces that fell through the gap somewhere.Is it supposed to be like that?  And have you ever felt any desire to make the notebook entries more..  substantial?  (sorry if this question sounds rude, i don't mean it to be rude i swear)?",the shorter ones look better on twitter. perhaps i should not be including tweets in the notes page.
"If you were getting so many questions you cpuldnt answer them all, would you stop answering completely or just answer a few at a time?",i have never been answering all the questions.
Would you ever put out advertising to advertise your music?,no.
are there bad words in the new video?,i'm trying to make them as good as i can.
what do you think of the free market?,seems legit.
"is Louis Antoine, king of france for 20 minutes approx., going to be in the new video?",no.
noah fence but the color scheme of ur ueqstions page makes me sad?,you being sad makes me sad. if you leave this page perhaps we will both be less sad.
"Your usage of punctuation marks seem to have increased, should I be worried?","my punctuation habits have stayed the same for many years, but i respect your opinion."
when is violence necessary?,when there is competition for resources.
whats left of the video Now?,"i'm up to 5 minutes on the score, up to 8 min on the narration. then after that would be just mixing, and fixing whatever graphics need to be fixed. also still need to do vocals for about half the jingles."
i have a question?,
do you agree with the constructivist model of teaching?,"sometimes i teach without checking first to see if it is the constructivist model. that way, at any moment i could be using the constructivist model and not even know it, which i find thrilling."
help my beverage is too hot and i dont know what to do?,perhaps if you cherry pick the data you could convince people that the drink is an average temperature.
bill are the people who ask mean questions your friends?,no.
Can you make another history of ________ or something likethat please?,
how do you do stuff?,i'm not sure.
have you ever tried walking around in your home with your eyes closed? as a sort of fun challenge?,yes.
Do I need college to have a fulfilling life?,no.
how do I find the password on your site?,
does your beHIND the SCENES vine apply to your current situation?,oh hell yeah.
do you have dates for when you created each page of the website?,i could probably figure it out.
How do you feel about how many artists place priority on profits over quality and artistic freedom?,it's really none of my business.
Can you make a history of Korea?,
are you a dog?,
do you have any tips for people who want to become better at using instruments?,do it more.
is there anything that isn't art?,not really.
"did you know that if you have applejuice, orangejuice, and some burrito in your mouth all at once it tastes like vomit?",yes i knew that.
are homosexuals gay?,
where is the link for frequently asked questions?,good.
Is there a link to the anagram page on your website or is it a secret?,it's new. not released yet.
what is the spiciest new gossip?,everyone is each other.
why are the labels not done during the graphics phase?,"some of them are, but it's hard to tell exactly how many i want until i see it play through. after everything is mostly done, it becomes very clear where i need a word here or there etc."
will u ever do a video about the space-time continuum?,it is a central feature in most of my videos.
why am i not you?,i'm not sure.
what would you do with an infinite amount of nothing?,nothing.
Will you begin working on songs while the video uploads? or is the upload time so quick that it wouldnt be worth it?,"this video will probably take a while to upload, like maybe more than an hour, not sure. the first thing to do after the video comes out is to firmly establish the rules of the song schedule. i might be thinking about that during the upload. i also might be doing tweets or instagrams. i might be doing reality updates. but i will probably still be checking the video for errors, because it is ironically very easy to notice errors while the video is uploading. and then if i notice something i will decide if i care and then potentially cancel and fix it and re-upload."
What's not done for the project yet?,"mainly the score, the final vocals, and more graphics fixes, some labels, etc."
How long do you estimate the time for finishing the project?,i can't tell you.
"hello, can you tell me how i can reach the nirvana? thanks?","stay where you currently are, and start calling it nirvana."
why are people so bad/good?,it helps the story line.
