question,answer
?,where' means somewhere in this univers.
piano or violin?,i think you forgot the attachment i see neither.
have you made a video on pizza yet?,yes.
how long does it take to make one of the usual 5-8 seconds videos?,videos of that length have not been usual for me since 2015.
would you use green screen technology in future videos?,yes but unfortunately i don't have that technology yet.
are you high or drunk or both?,no.
does getting popular fast give you a good feeling?,i'm not sure what that would feel like. so far i've gotten popular at a medium pace.
If you do it Ill love you for life <3?,
is there any global issue you feel ridiculously passionate about? what is it?,transportation/teleportation.
what is your favorite kind of melon?,lemon.
when was the road written? My favorite song of yours?,"january 12, 2012."
do you have any hobbies besides music or do you just sit around all day?,"i make videos all day, to put online for your viewing pleasure."
"at the part near the end of outside where you have handwritten sheet music, did you write it one note at a time and then screenshot/scan it? it looks like the beams were drawn with each note attached to the previous one cuz the points of contact are darker?",the trick for that kind of thing is to write the whole thing first and then erase it from the end one bit at a time.
scenario: someone comes up to you on the bus and asks you to hold their owl for a moment. what do you do?,i would tell them i am not certified nor qualified to hold the owl.
what's the best breakfast?,lunch.
can i take my own popcorn to your concert?,that depends on what the venue will allow.
do you think the world is better or worse than before? (before being a term that goes from a century ago to yesterday)?,scientists are trying to figure that out.
Try to imagine non existence?,ok.
You wouldn't feel or expirence sanything anything yet you wouldn't experience the nothingness either?,that's true.
An entire eternity could pass in an instant?,that's true.
But you wouldnt expirence that instsant anyway?,that's true.
So what is the general jist of the next video of you've started conceptualising it?,soap.
are you a psychic?,i will check.
will there be an updated history of the entire world video in the future?,no.
what if Bart Simpson had one big triangle for his hair instead of a bunch of little ones?,"then they could have surely cut down the production time significantly, and likely released new episodes every 6 days, instead of every 7."
do you is person?,i will check.
How long does an average video take you to make?,which one is average.
How can I help alleviate space junk?,pick it up and bring it to earth.
do you think humans are a good idea?,sure.
when is the next song?,after a quick non-song.
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa?,i know what you mean.
what is humour?,scientists are still trying to figure that out.
why do i pay tax?,perhaps because your government wants you to.
what are you doing?,answering questions.
"Many notable figures throughout history have been successful publicly and deeply flawed personally. Is your opinion of an artist's work affected by your feelings regarding them as a person,?",hopefully not.
What music harmony do you frequently use?,"major 3rds, and many others as well."
"do you know if you dont? because if you do, then you might not...thanks, a concerned citizen?",you'll just have to make your best guess.
are people overthinking the meaning behind outside?,it depends what they think the meaning is.
how many things are there?,i will check.
did you take my rake?,no.
Are you making more videos?,oh hell yeah.
do your videos rly have deep meaning like ppl say? or are they just plain random. great work btw?,"the main meaning is let's see what kinds of ways i can express myself through videos. which i think is a very deep meaning, and not random, because i think expression is vitally important."
how's the content-making coming along?,good.
"do you think Antarctica feels bad that, because of its life choices, almost every map cuts it in half and spreads it around on the bottom?",antarctica doesn't use those maps.
What's the progression at the I'm gonna Go out and adjust my mind part of outside?I can't quite get it by ear?,"it's pretty much the same as the regular chorus, but with slightly different timing."
do you ever accidentally succeed wildly?,yes.
"do you like songs where the structure is verse/verse/verse (or at least, roughly similar) and then at the end there's like an infinite amount of choruses?",whether i like a song is not usually affected by what form it uses. you can make all kinds of music using any form.
How do you feel about violin?,fine.
what is your opinion on the puppies or kittens debate?,"where i'm from, puppies and kittens can both exist. it is nice."
date taylor swift?,i will try.
hi bill will you come hang out in new haven i will take you out 2 eat pizza?,oh that sounds nice.
"i'm currently struggling with writer's block, and i dont mean lyrics but trying to find a chord progression that sounds nice / having no idea what the next segment of a song should be, have you ever encountered that kind of problem?ps: great fan <3?",sure.
What do you think about mormons?,"what i think about someone is not usually affected by whether or not they are mormon. in fact, usually i can't tell."
How do you remember music when you dream it? I sometimes try to wake myself up but then im afraid i miss out on the rest of the music?,"i just try to get it down as quickly as possible, i go straight to the recording and quickly describe and/or play as many elements as i can remember."
hello i would like to know your opinion on casseroles i just made one it was very good?,"i'm actually not sure what a casserole is, but i have heard of them."
please top the country top 40?,i will try.
how would you describe your aesthetic?,"i believe aesthetic should be shared, by the community."
"if you only had the hook written for outside when it was randomly chosen, what was your inspiration for the verses? i LOVE it?","writing backwards is very hard, you usually just have to sit around all day until you get it. (by writing backwards i mean you already have the chorus but you need to figure out what comes before the chorus that is a good start but also makes the chorus work good after). and after stumbling for a bit i eventually got a first line i liked, and then went from there."
Bill can you teach me economics?,sure. you know all the people you bought stuff from?... they have your money now.
do you like your new thing?,"i tried to make it the best i could, it's out of my hands now."
Are you going to have vlogs🤔?,i think i already have them.
i downloaded the outside video and noticed it's actually in 1080p. how did making the video larger/cleaner looking contribute to the length of this project?,"i've been using that resolution for at least a year and a half. i've actually always worked at 1920x1080 but in the past i have exported at 1136x639 because i am concerned that on a laptop web browser, by default some don't zoom to fit, so larger videos might be off the edge. that reminds me, i didn't get a chance to export that version of outside for the website, i actually need to switch it."
8.16.167:55 pm  Well after watching outside it looks like that has happened?,oh and i suppose you also believe i read a paper newspaper.
What are some of the secret swear words?,"hi, bye, hey."
Why haven't you updated your reality page in a while?,"because i've been making more exciting videos instead, with colors and music, to go on my videos and youtube pages."
Where did you learn to mix music so well? Any tips :)?,"yes, the secret is start by don't doing anything. only fix what seems to be the problem, and if you don't notice any problems then you are already done."
"I'm looking forward to your next new thing so please release it by Saturday, thanks?","in that case, it would have to be painfully short. how about the tuesday after next, and it could be more of a medium size, but even then i will have to hustle my ass off. which i was thinking of doing anyway."
that's not what outside is like at all anymore?,it depends what you are outside of.
Thanks?,
how do i come live with you?,you would have to utilize time and space in just the right way.
what is your relationship with the sun like?,normal.
what kind of project would you like to do but haven't made even the teensiest bit of progress on yet?,live streaming.
What do you think Steely Dan would sounds like when they're just talking?,"nice, analytical, intellectual, genuine people, probably slightly jealous that their backup musicians always bring more girls to breakfast, yet at the same time realizing that those girls might not be the most interesting."
do u like to bike?,"i would, but it is kind of hazardous for cars and bikes to operate in close proximity. i don't have a good solution for this."
"Love the vids, how do you do the flashy flashu?","usually just put a lighter layer on top (either a blank white thing, or a lighter version of the video under) and then fade it away quickly. and also make sure you do it at the right time."
help I'm?,oh me too.
"That means that your mom/dad never existed, that means that you never existed-> so you are never able to kill your grandparents soooo your mom/dad exists -> you do to. But than you can go back in time.... you know where this is going to... soo what would happen if you went back in time to kill your grandparents?","well i would have already did it, which i didn't, which means i will not. i'm not sure if that answers your question."
Opinions on grass?,"reasonable, and down right sensible."
what is your opinion on psilocybin mushrooms?,"be careful what you ask them, because they might know everything."
what is your view on the nword?,it has changed hands.
what am i supposed to do?,check with your leader.
Did you receive this question at 3:56PM?,yes.
What is science?,it's figuring stuff out.
Outside sounds like something that should be in some cool movie?,"that would be convenient if someone wanted to just pay me to use something i've already made. but unfortunately usually when companies call me they want me to make something specifically for them. and if i did that i would never have any time to make the things i make for me, and you."
what do you think about sex?,"it's a great way to make a baby, even if you don't want one."
hello tell life to stop being annoying thx?,have you tried being more annoying.
i had a feeling once?,"ah, #relatable."
how long has this question page been active for?,a year and a half.
why is jerry seinfeld such a shitty comedian?,"he is actually a better comedian than most people, but perhaps not as good as you."
"Hi, do you have any techniques on quickly picking random numbers in your head when you can't use a computer. an example situation is which line to get in when there's 2 lines or who to sit by at a table when i like everyone equally, Those don't seem like good applications but i feel like i try to pick random numbers in my head all the time and it ends up always being lackluster. i've tried things like odd or even number of similar objects in the room or multiplying or using numbers on license plates or adding 2 smaller not very random numbers that my brain comes up with and taking the last digit. these are ok solutions but nothing is doing amazingly well. since you use randomness a lot i thought you might have thought about this before. this has been on my mind for months?","i don't have anything i trust, other than computer randomization."
why did you make a song about napkins?,to see if it would work.
When you link somebody to a page where its a list of everybody that said a certain thing like what if one person is asking all of these how do u remember to do that. i am very impressed. ex;9.27.173:18 am?,
how can i compel myself do sth that i am not interested in£¿?,maybe if you are really interested in the result.
WHEN WILL THE SEQUEL TO [[[ COME OUT I HAVE BEEN WAITING FOR YEARS?,"that is the 3rd in a 4 part series, released on 4 consecutive days to billwurtz dot com and youtube."
What does 240 mean?,"it's like 420, with a twist."
how many emails do you normally receive?,2.
"btw sorry if I was messing up words, english is not my native language?","ah, right.... melody actually just means the notes he sang. not any of the chords or other notes that support."
how can i learn how to music good?,try to make up a new way.
why are some animals smaller than humans?,"ah, i see your point. i will make them all the same size."
i gotta get out of here?,.
"in new cannan you show little regard to time and space,?",that's not true.
Will you ever date a man?,no.
Bill what are your thoughts on people starting their questions with bill?,seems unnecessary but i guess it's ok.
"I'm working on my doctorate and I currently hate my life because of school. I want to finish my degree so I can (legally) practice occupational therapy but I'm having trouble focusing in every class lately. Have you ever experienced something like this in regards to one of your projects,?",yes.
I tagged you in a photo on Instagram. Do you check your tags at all? I don't need a response but the possibility of you seeing it gives me hope?,i actually can't figure out how to see them. the page where they are supposed to show up is always blank.
why are there still forks and spoons when there are sporks?,because sporks are not as good as either.
what should i do to all the jehovah's witnesses that keeps knocking at my door?,ask them if they are satisfied with their current cable/internet package.
who is your bae?,i guess i'll have to be my own.
Bill are you entertained by the pictures/replies people send you on twitter or do you check at all?,i rarely receive any original content. they are usually copied from somewhere else.
Do you ever get annoyed when the comment section on one of your videos is full of hire a samurai and that's the way I like to live my life?,no but what does annoy me is questions that start with does it annoy you when... this whole question format is destructive and borders on harassment.
You should dress up as Bill Wurtz for Halloween?,that doesn't seem necessary.
Do you hide any deliberate profundity in your nonsense lyrics?,i just put it there. it is up to you to decide whether or not it is hidden.
How much of a day should be spent thinking about the future days?,about 13%.
Could you tell me what time signature this clip is in? Thank you. https://clyp.it/3ud3kt52?token=e917208d9dcf28d151d24d3b6e40c55d?,"it's a 12 feel (which could be written as 12/8, or 4/4 using triplets) BUT there is 1 12th dropped at the beginning of the 1st bar, at the end of the 4th bar, and at the beginning of the 5th bar. likely the beginning and end of every 4 bars, assuming the pattern continues."
When am i?,now.
Is Pink Floyd good?,i will check.
"anyone can make music, but can you make music from anything? (like a spoon or maybe even a twig)?",oh hell yeah.
what if i bought you flower to symbolize my mostly platonic love for you?,is that the kind where u don't get to do the sex.
how do i deal with idiots?,become even smarter.
what is the purpose of human existence?,to find out what we're capable of.
"can i have your opinion on bread, it's for research?",it's ok.
do peanuts grow on trees?,i'm not sure.
Why don't you like ads on your video?,why do you like ads on yours.
the.abhiram.r: Why didn't you say a speech during the 2016 streamys?,mainly because i did not attend.
how do you deal with the inevitability of death?,"do the best you can, before then."
what do i think of when I feel like thinking of something?,how about.
uhhhhhhhhhh jimmy hendricks didnt know muzik theory so i dont hav 2 klearnr it and neither do u:)?,jimi hendrix knew exactly what he was doing. i don't really know what you mean by music theory or how that fits into the scenario.
are you a human that lives on the planet of earth?,i will check.
How much of a day should be spent thinking about the previous days?,about 7%.
"What letters can you spell using the hour, minute, and second hands of a clock?","L, V, I, Y, maybe more if you take the hands off the clock."
is it even possible for everything to be okay?,nothing would have existed if it was not ok.
someone asked me to try to describe love in less than two words andi responded with AAAAAAAAAAAAAAAAAAAAAAAAAAAA. do you think this is accurate?,oh hell yeah.
Bill what are some things I need to know before trying to make songs?,whether you think you like songs.
How many pixels do you have?,usually about 2 million.
"Hi, i did the all caps voice question two seconds ago. So it seems that you voice chords according to melody and comfort of your hand. So with that logic a 1,4 ,5 blues in E, the notes would be like for E7=E,G#,B,D, A7=E,F,G,C#, and B7=D#,G#,A, B? WHY IS LIFE SO HARD?","A7 usually won't have F unless it is marked A+7, or if F is in the melody. also when in doubt, in 7th chords just stick to the 2 notes that form a tritone. so in E7 that's D and G#. and when in doubt play them in the octave around middle C."
bill what are your thoughts on plastic?,it protects life from itself.
this is a statement?,i see what you mean.
is everything a conspiracy?,many different conspiracies.
how many pixels does it take to make art?,as many as you have.
what do i do if im sad?,change the world.
and will you do more videos that are simmilar to this one (telling a story with normal and unrelated things)?,maybe.
do you use autotune?,no.
Can you find the zero? OOOOOOOOOOOOOOOOOOOOOO0OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO?,yes.
Why do so many questions not end with a question mark?,perhaps it's not always completely necessary.
what do you do when you're sad?,try to understand.
"9.22.178:15 pm  surprise, an app for that exists and it's called shazam?","surprise, that only detects the original audio recording. won't detect an entirely different performance of the same song."
what's your favorite number of times to MAKE SOME aRT?,as many as possible.
A fan asked you Can you go back to making short videos?and you responded'how about something of a more medium size' Can u define that? i'd think it's like movie star length right?,"i always prefer to keep songs under 3:30, but for general videos i think i'd hope to keep it under about 6 minutes. and since i've already done way too many videos and songs under 20 seconds, i'd say let's keep most of them a bit longer than that, for now."
Are you a bored game?,no.
What is the time signature of this song? It sounds like a highly syncopated 4/4 but some parts really throw me off. https://www.youtube.com/watch?v=mXqqmxDq300?,"it switches a lot. the intro is 11 8th notes repeating, the verse starts as 11 quarter notes repeating, but it has many other changes and variations in it."
how to get over the feeling that everyone hates you even though you've done nothing wrong?,"do more things! for people to hate, or perhaps not really hate."
the chorus in this song makes me feel very good and I want to know what the first chord change is (~0:55-1:00) can you tell me what it is?thanks for your time https://youtu.be/7IPU8UFQCm4?t=55s?,"within the time range you mentioned, nothing much happens. just the 1 chord (Bb) and then a hint of Bbmaj7(9) in the next bar. most of the chord changes i'd think you would be interested in are after that time range, but maybe you specified the time range wrong. i'm not sure."
hey you asked yourself this question while sleepwalking. as a joke?,that's not true but i respect your opinion.
"Hey Bill, you see, I'm going on the magical adventure of learning how to do the thing in music, but I've got 2 instruments (Piano and Flute). So, my question is, do you think I should try to learn them both at once? Or like master one before doing the other? If so which one? (Probably piano because you've talked about it before but I might as well ask :p)?",i think learning both together will be great for you.
should the colour blue be used in a satanic monument?,it depends if it goes well with the other colors.
I really like your content. Can you please pause the rest of the world really quick so you have time to make it all? thanks.​?,sure.
"Have you ever thought about writing a book about your journey as a content creator some day? I think it would be really helpful for new, aspiring creators?","nowadays, books aren't necessarily the most efficient way to store and deliver information, but my journey has been heavily documented, and the documentation process is ongoing, and i will continue to release more and more pieces of autobiographical material as they become available, as i have done in the past."
"i genuinely believe you can do anything you set your mind to. love, a fan for life?",
will you krack my lackin?,right now i don't think i have time.
How can one boost their self confidence?,"run for president of the united states! win, if possible."
Today was pretty crap but I just listened to it's gonna be all right and now i am ok. So thanks bill :):):):)?,wait hold on i am making a better one.
