question,answer
What's your dream job?,job creator.
?,"that was probably the most fun part. explaining the motivations for a universe happening, from the perspective of there not being a universe. and it's really common sense, i think, if you look at it from the right perspective, but the problem is you are not allowed to properly use time or space in the description because those things only exist if there is a universe. and most language as we know it is based on time and space. so it makes for some thrilling turns of phrase."
"Why is questions, and many other titles at the top of pages, spelled wrong?",graphics free title graphics.
how to make a unique question to ask you because i want to suprise you like every other people?,if i help you come up with the question then i don't think it's going to surprise me.
has this questions page convinced you that we are all stupid?,.
What is your favourite passtime that isn't making videos?,wishing i could figure out how to make more videos faster but still do them as good as i want.
"i'm confused how can you reply to all 3 of my previous questions but not to the most important one: why won't you reply to my dm, it has a very important question?",because i answered someone else's dm instead.
Will you do an anagram in the wrong section? (this one)?,"i used to do them here, before there was an anagrams page. i used to respond to any question asking about anagrams by anagramming the question instead of answering it. this unfortunately lead down a rabbit hole of people asking for longer and longer anagrams. this was thrilling for me, but the really long ones were actually taking me all day. and with the format of this page, i can't save them for later, because i always answer questions in chronological order. so basically it would stall the questions page (or else i would have to skip it, which i didn't want to do). this is really what made me realize i need to build the anagrams page, and take requests, and i can take them out of order and just work on them whenever i get a chance."
i once saw a vine with ur style and i was wondering if u had a vine account or if it was a fake bill wurtz vine?,vine was where i originally became popular. my channel name was bill wurtz. but i have heard that a lot of other people on vine took influence from me also.
wait bill update on that alarm question from like an hour ago i just made my own alarm song. i'm digging it. is this how the mountain is climbed is it this easy?,"oh nice, finally someone actually gets something i said in a video."
do you enjoy hugs?,not on the first date.
what do i do if im not good at music but i still like doing it?,"do it, i suppose."
Would you include a picture of a towel in the next video if I said it was for a good cause?It's for a good causeIt's for the chairity it's that cures Alzheimer's in vacuum cleaners?,"that's ironic, because normally i have to take my towel Out of the picture. although perhaps it made it on there by accident at some point."
How do I do calculus help?,i have no idea.
Do you have any interest in Monday videos lately?,more interested in tuesday videos.
is this the questions page?,yes.
Wath if teh wordl wree a pizza?,perhaps it is.
Do you sometimes answer questions vaguely because you just don't have time to answer every question in detail?​?,"no, that's just to delay people from finding the ones i answered in way, way too much detail."
I see many people here who want from you some help but you answer with detached cruelty?,"i hope it's not cruel. but with so many questions coming in it is not possible to answer all of them with the in depth essays that i sometimes provide. also i don't think that would be a good reading experience, to have too many dense answers."
what the hell is going on with youyou disappeared?,are you sure.
WHat are you thoughts about having thoughts?,seems legit.
If all we'll ever do in life is move a relatively small?,"or relatively large, depending on the other thing you are comparing it to."
"amount of atoms in a slightly different way in a forgotton corner of the universe,?","i remember it, and so do you, and everyone we both know."
"Hi Bill. I dreamt the person I like. In the dream, she was angry with me because I avoided her yesterday evening, when she was hanging out with her boyfriend. In fact I have always avoided her since I discovered she had a boyfriend. How to end this torment? It's also difficult not to see her because she's redhead and you can see her five kilometers away?",i think you should try having dreams about someone else.
how is your latest test to see if the internet still works coming along?,"i try not to think about it too much, because i am always paranoid that it somehow doesn't work. it's kind of like a megaphone. no time to check if it works, because if it doesn't work there's not much you could do anyway. just make sure to keep yelling."
how about posting stuff before it's finished?,seems legit.
help dick stuck in toaster?,it will pop out when it's done.
Also what is the time space continuum? I hear about it a lot but i don't necessarily know what it means for sure?,"it's like the playing field, for the reality we live in."
"what happens if you need to write something down, but you don't have a way to record it anywhere in that moment?",there are ways to be in very close reach of a recording device at all times.
How do i find my soulmate(s)?,"just do what you do best. and as long as they are too, then you will surely run into each other."
I want to give you attention?,
why do you always answer one word questions with I see what you mean?,"if you think i always do that, then you have probably not been reading this page for very long."
"will you please consider releasing the new video on Tuesday, or do you get too many questions if the video that is released on a holiday doesn't share the theme of that day? That day is creepy to me. A new video would make it better. thank you?","i probably can't do that, because it will not be done by that time."
What isnt your hobby?,"receiving better, more relevant ads, based on my spending habits and the contents of my personal emails."
Do you like sleeping?,yes.
What does 'queue' mean?,it's like a line of people waiting for something.
I'm asking a question?,"ah, i see what you mean."
Can you do a history of every country? Now we only have Japan and we want mooooorrreeeeeeee?,i don't think that is a good use of my time.
When are you gonna make your 400th vid?,it depends what counts as a vid but i've already done at least 400.
what's your fetish?,the time space continuum.
what to do when your parents r fighting?,change the world.
go dig a hole?,i am already in one.
do the history of the world?,that sounds like an irresponsible thing to attempt.
"the last time id checked your aquestions page was back in 2016 and so i was pretty damn bewildered by all these questions about whether you have depression cAUse i couldve sworn i saw you write(imply) that you were depressedanyway i scrolled through all your answers to see why id thought that and 4.26.163:28 pm, 4.4.16 1:30 am but i realise now that you werent referring to depression the mental illness?",i wasn't referring to depression at all. both the questions you just listed had multiple options.
and perhaps all that was why some people thought you were depressed¿?,"you really think people read back that far? i get asked every day if i'm depressed or sad, and i think it's just a very popular topic these days. to be fair, there are many other questions i get asked every day too, i get a lot of questions."
anyway i wonder how annoyed you are at all the questions about your mental state?,the only type of question that's actually annoying is when people ask 'how annoyed i am' about something. it's almost as if they are encouraging me to be annoyed.
why are you like this?,"like what, and why are you like the way you are."
i have flu wat should i do it is boring?,"maybe you could do some puking, to keep it interesting."
Sex?,i see what you mean.
Tell me one of your dreams?,one time a doctor tried to put shampoo in my blood.
"to clarify: i'm not tonedeaf, i can identify some easy stuff like maj7 chords, but if i had to transcribe a melody i would be totally lost unless i had a keyboard and lots of time to replay it. so is there a way i can actively try to fix that or no?",just keep familiarizing yourself with what's going on in all the songs you know. and then do some songs you don't know.
is it ok if i make a living off my music and dont go to college?,oh now that's what i call using your thinking cap.
What image should I carve for my jack-o-lantern?,how about a pumpkin.
It smells little let updog?,"ah, #relatable."
how do you define yourself?,by being it.
"I noticed that in your 'live action' vids, singin' bill is wearing different clothes than bass bill, who's wearing different clothes than air drum bill, piano bill, etc. Do you record the videos for these parts on different days,?","? i've gotten this question before, and my mind is blown at the idea that people think the only way to change clothes is to wait a day."
Did you win or lose your last arm wrestling match?,it is still going on.
"Do you think you'll ever go back and make some of your old work available on Apple Music, such as It's Gonna Be Alright?",that one should be available there.
"and really any of your work before that? I think all of your stuff is unique and wonderful and I'd love to have it readily available there, if possible (I'm not sure how uploading to Apple even works.)?",i would do it but i am focusing more on doing new stuff.
what was life like in the year 1990?,"presumably you had to be at home to make phone calls, and you had to send mail through the mail. also twitter likes were called favs."
i don't know i really enjoy your thoughts on stuff and watching / listening to your progress. you seem like a great guy. but i understand if you don't want to?,"i want to badder than an elephant wants another elephant, to love."
who invented music?,you.
how to do volleyball?,try to get the ball to the other side.
have you ever eaten a piece of gum you found on the streets?,no.
awww how sad that you couldnt finish your crappy video1?,
"When everything is perfect in your head and then you execute it,?",that's impossible.
what are your opinions on ap classes?,i don't really know what they are.
i never quite understood why people like halloween?,"it's because they like the smell of pumpkins, on the inside."
do you know where joe is?,i heard he went down to mexico.
beep boop beep beep beep boop im a robot?,are you sure you really need to make those noises.
i have lost myself what do i do?,"make a new one, maybe even better than before."
how did i not notice that outside has the word spaceshipp with three ps?,perhaps there were a lot of other things to notice.
will there be a vid on tuesday?,i would say yes but it's not a halloween video so i will attempt to say wednesday.
do you like society?,it's ok.
peach?,i see what you mean.
bill im gay will you be gay with me?,right now i don't think i have time.
"Were you ever in a high school band (as a class) or did you just get into music because, music... I guess?",i got into music way way before that.
how can i become the pope?,i think CGP grey made an instructional video about that.
hi im a teenager does that mean im living the good old days right now?,every day is the good old days.
how can i find a person to do musicy things w????? howww?,.
Pls don't tell me that you are working on another massive project rn?,"it's the same size as outside, but visually the same format as crazy/raining."
is water good for u?,yes.
How do i do algebra?,"make legal transformations until you get only the letter on one side, and only the number on the other side. then you find out what number the letter means."
will this be the first question you answer today?,no.
Which classical composer do you most relate tp?,i haven't heard of very many but the answer is mozart.
Hi so I tried going back to find the earliest question but I couldn't go back any further than http://www.billwurtz.com/questions/questions-2016-05.htmlPlz explain?,did you try looking at the earliest question on that page.
I am making a statement?,"ah, i see what you mean."
Tell me a cool fact?,every year was once in the future.
technology amplifies what we've been doing?,"ah, i see what you mean."
how do you feel about pants?,"nice, good. they are a valuable asset."
"shit, being free is hard. you can literally do anything?",that's true. it's almost as bad as not being free.
How to fuck?,have you tried making up your own way.
"If canada were to invade america, would you say I guess Im canadian now or Id prefer to be called American Canadian?",i already have a name so i wouldn't really worry about it too much.
how do you cook pasta?,put it in the toaster.
I'm on your team?,oh nice. then that would make us team mates.
"I notice that at 10.22.1712:43 pm , someone asked if there would be a new video on Tuesday. You responded with hahahahahahaha sure no problem. Then, another person asked at 10.22.175:46 pm  if the video would be done by Tuesday, and you responded with nearly the exact same answer, but with one less ha in the laugh. Is this to show your growing distaste for the question,?",no.
How to use drum?,same way you use computers. try hitting it with a stick.
why do you have so much free time on mondays?,i do not.
how do I know how to ask the right questions?,have you considered asking the wrong questions.
when was the last time you had a girlfriend?,maybe about 1923.
Bill Nye = Bill Wurtz?,that's not true.
Boom! Drops mic?,
Bill can you please get signed by a major label quick so I can go to your concerts? k thx?,since when do you have to be signed to do concerts.
I was just wondering I you ever heard of this kind of thing. Take care. -bro-bro?,"but here's the ironic thing: there are many many people who frolic all over the place telling people they have perfect pitch, but whenever you test them, they're not even close. my point is, if you have the skill that you have (springboarding off a strong memory of C) then not only can you get the job done, but you can probably do it better than most people who actually claim to have it. so i say you might as well just say you have it. to increase your strength, familiarize yourself with where a low C is in your vocal register, (you can usually hum it quietly, should be a casual and easy note for a male, if you are a male) and just practice trying to find that note while other songs are playing. also familiarize yourself with the key of every song you've ever heard, and always learn what key songs are in. this will help you even more. perfect pitch (absolute pitch), or the sneaky workaround you have, is not at all required to be a wonderful and great musician, BUT it will provide you with an extra edge in professional situations."
Would you ever consider putting all your songs on Spotify into one playlist (such as Bill Wurtz's songs) so it would be easier to listen to them all at once? Spotify makes it really hard to flick between singles?,"oh, i thought it was pretty easy for users to make their own play list. but maybe i am wrong because i don't use spotify. if anyone is an expert on that stuff please email me about it."
What school did you go to?,the school of hard knocks.
"hi, it's me?",oh hi.
For how long would you have kept making vines if the service didn't explode?,i already stopped doing vines about a year before the service was cancelled. i stopped for a different reason.
What is the best way tp not fuck up exams?,"get the right answers, i suppose."
Do you ever just feel the need to AAAAAAAAAAAAAAAHHHHHHHHHHHH?,yes.
